Rural-UrbanContinuumCode2013,PopulationEstimate2018,PopTotalMale2017,PopTotalFemale2017,FracMale2017,PopulationEstimate65+2017,PopulationDensityperSqMile2010,CensusPopulation2010,MedianAge2010,#EligibleforMedicare2018,"MedicareEnrollment,AgedTot2017",DiabetesPercentage,HeartDiseaseMortality,StrokeMortality,Smokers_Percentage,RespMortalityRate2014,#FTEHospitalTotal2017,"TotalM.D.'s,TotNon-FedandFed2017",#HospParticipatinginNetwork2017,#Hospitals,#ICU_beds,dem_to_rep_ratio,PopMale<52010,PopFmle<52010,PopMale5-92010,PopFmle5-92010,PopMale10-142010,PopFmle10-142010,PopMale15-192010,PopFmle15-192010,PopMale20-242010,PopFmle20-242010,PopMale25-292010,PopFmle25-292010,PopMale30-342010,PopFmle30-342010,PopMale35-442010,PopFmle35-442010,PopMale45-542010,PopFmle45-542010,PopMale55-592010,PopFmle55-592010,PopMale60-642010,PopFmle60-642010,PopMale65-742010,PopFmle65-742010,PopMale75-842010,PopFmle75-842010,PopMale>842010,PopFmle>842010,stay at home,>50 gatherings,>500 gatherings,public schools,restaurant dine-in,entertainment/gym,SVIPercentile,Spread Factor
2.0,392680.0,188760.0,205196.0,0.4791398024144829,58908.0,503.8,382748.0,36.0,80814.0,57624.0,11.0,198.4,46.6,18.180889407000002,56.71,23478.0,3369.0,6.0,8.0,209.0,1.4622655369998532,13572.0,13159.0,13048.0,12568.0,12663.0,12429.0,12149.0,11667.0,13163.0,13281.0,14915.0,15742.0,13484.0,14016.0,24227.0,25762.0,25956.0,28412.0,11959.0,13560.0,10023.0,11085.0,11233.0,13580.0,5648.0,9003.0,1898.0,4546.0,24,25,25,16,18,18,0.6287,1.0914012136381494e-06
8.0,16603.0,8174.0,8332.0,0.4952138616260754,4309.0,24.4,17295.0,46.6,5502.0,4040.0,12.5,192.0,49.2,18.995632142999998,70.75,212.0,11.0,1.0,1.0,0.0,0.2878112225938313,435.0,439.0,519.0,500.0,513.0,480.0,549.0,472.0,407.0,380.0,411.0,419.0,411.0,403.0,991.0,900.0,1324.0,1315.0,586.0,610.0,635.0,673.0,1037.0,1054.0,606.0,707.0,198.0,321.0,24,25,25,16,18,18,0.7226,0.0
1.0,1666753.0,817903.0,845287.0,0.4917676272704862,224171.0,2043.6,1510271.0,36.6,253144.0,206830.0,6.7,114.3,36.5,9.7327103382,36.12,18353.0,6636.0,6.0,12.0,282.0,5.367298429974353,50259.0,47393.0,48145.0,46401.0,46403.0,44667.0,51445.0,48949.0,54515.0,52534.0,56185.0,57412.0,56256.0,58351.0,113021.0,114470.0,109599.0,113018.0,45580.0,49068.0,37509.0,41345.0,41628.0,48809.0,21761.0,30815.0,8267.0,16466.0,18,18,18,18,14,14,0.4701,1.5427772269967846e-06
1.0,1150215.0,560863.0,586576.0,0.4887954828099794,175456.0,1465.3,1049025.0,38.5,204773.0,168113.0,7.8,112.8,43.0,9.9405871282,40.34,9187.0,4302.0,5.0,7.0,163.0,2.7535185760115906,34004.0,33014.0,36983.0,35302.0,38052.0,36392.0,38187.0,35579.0,30793.0,29150.0,32303.0,32444.0,31637.0,33259.0,72286.0,76364.0,79619.0,84461.0,33301.0,36099.0,28062.0,31296.0,32723.0,37996.0,16958.0,23389.0,6618.0,12754.0,18,18,18,18,14,14,0.4057,9.936030593038196e-07
2.0,994400.0,493547.0,495708.0,0.4989077639233565,118527.0,156.2,930450.0,30.6,144367.0,115579.0,10.7,164.9,44.1,13.358907815999999,46.22,12058.0,2462.0,2.0,7.0,164.0,1.139396528791042,40476.0,38504.0,38161.0,36879.0,38453.0,36956.0,41878.0,39428.0,38646.0,36644.0,36186.0,34309.0,31790.0,30444.0,57696.0,56673.0,57354.0,57698.0,23911.0,24996.0,19497.0,20450.0,23250.0,26249.0,12657.0,17647.0,4856.0,8762.0,18,18,18,18,14,14,0.9611,2.873232961728537e-07
3.0,181827.0,93743.0,89087.0,0.51273314007548,23042.0,41.8,174528.0,31.9,32193.0,25375.0,9.0,141.9,33.9,12.840010729000001,32.49,1740.0,169.0,0.0,2.0,28.0,2.57139483627204,6874.0,6652.0,7028.0,6813.0,7593.0,6943.0,7721.0,7326.0,7235.0,5953.0,7042.0,5469.0,6558.0,5128.0,12126.0,10815.0,11268.0,11229.0,4440.0,4796.0,3526.0,3841.0,4551.0,5240.0,2878.0,3478.0,806.0,1199.0,18,18,18,18,14,14,0.9978,0.0
2.0,896764.0,457994.0,435125.0,0.5128028851698374,95307.0,103.3,839631.0,30.7,121686.0,91664.0,9.5,199.7,37.3,15.31417715,72.71,9507.0,1345.0,0.0,10.0,144.0,0.7615832201506358,36952.0,35933.0,35022.0,33672.0,34899.0,33574.0,37862.0,34631.0,35895.0,29444.0,34949.0,28681.0,31585.0,26831.0,57388.0,51112.0,55973.0,52506.0,21756.0,21477.0,16807.0,17245.0,20810.0,22692.0,10185.0,13288.0,3025.0,5437.0,18,18,18,18,14,14,0.9659,0.0
1.0,10105518.0,5009834.0,5153673.0,0.4929237516144772,1343960.0,2419.6,9818605.0,34.8,1530126.0,1276832.0,8.1,150.8,33.9,10.847678109,34.94,157325.0,36517.0,22.0,76.0,2126.0,3.2015412936525567,330265.0,315528.0,323676.0,310014.0,347102.0,331743.0,385012.0,368618.0,385393.0,367395.0,386393.0,373209.0,360263.0,355866.0,713640.0,716686.0,673001.0,695946.0,269289.0,291631.0,212254.0,239982.0,257486.0,310984.0,143180.0,202423.0,52700.0,98926.0,18,18,18,18,14,14,0.7682,4.339920314539329e-06
3.0,157672.0,75711.0,81179.0,0.4825737778061062,21552.0,70.6,150865.0,33.0,25950.0,20357.0,11.6,159.3,43.6,13.444284132,50.04,2975.0,195.0,0.0,1.0,10.0,0.7290747955644988,6052.0,5931.0,5899.0,5857.0,6093.0,5662.0,6515.0,5709.0,5547.0,5485.0,4846.0,5695.0,4524.0,5497.0,8693.0,10474.0,8851.0,10440.0,3996.0,4471.0,3598.0,3768.0,4763.0,5105.0,2545.0,2923.0,760.0,1166.0,18,18,18,18,14,14,0.9541,0.0
1.0,259666.0,127495.0,133460.0,0.4885708263876914,56424.0,485.1,252409.0,44.5,60940.0,53170.0,3.8,100.5,25.0,9.7252337607,27.66,2910.0,2135.0,2.0,3.0,66.0,4.993201965917964,7118.0,6814.0,7919.0,7562.0,7153.0,7088.0,6758.0,6040.0,5707.0,4601.0,6449.0,5511.0,6598.0,6278.0,18214.0,18264.0,20596.0,21459.0,9873.0,10953.0,9031.0,10231.0,11062.0,12149.0,5399.0,7026.0,2195.0,4361.0,18,18,18,18,14,14,0.2701,0.0
